"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",86.750494157573,77.0732938903457,95.4534521803798,1834,0.00054525627044711
"tap_catTb",-2.28844475719932,-13.7992144738673,9.56086734860583,1834,0.66412213740458
"tap_catTc",-24.9071021785511,-36.3089439451651,-13.091248194185,1834,0.00109051254089422
