,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat,tap_cat
0,-0.007764629012211223,0.9139822944605673,0.4070448875427246,7.5,1.0,6.0,6.0,18.0,0.4510097061655507,5.0,10.0,30.0,g7,Ta
1,0.04093255887591088,0.5557672970866632,0.6489591598510742,7.5,1.0,3.0,6.0,19.0,0.4575523360737246,5.0,10.0,31.0,g7,Tb
2,0.05073688866246296,0.4579749040539626,0.2541391849517822,7.5,1.0,1.0,6.0,20.0,0.3653327202240384,5.0,10.0,32.0,g7,Tc
3,0.01680494381450637,0.8145034810579588,0.5570440292358398,7.5,-1.0,6.0,7.0,21.0,0.15975189016782732,5.0,10.0,30.0,g7,Ta
4,0.019812929699636033,0.7708346277902567,0.35704612731933594,7.5,-1.0,3.0,7.0,22.0,0.2086439683697061,5.0,10.0,31.0,g7,Tb
5,0.07355972150122206,0.1542373696732524,2.7063684463500977,7.5,-1.0,1.0,7.0,23.0,0.10865314178737273,5.0,10.0,32.0,g7,Tc
6,0.02595916513018577,0.7635332461202953,0.3974344730377197,10.0,1.0,6.0,8.0,24.0,0.664057812392937,5.0,10.0,30.0,g10,Ta
7,0.029180097444244726,0.7092135465783157,0.647432804107666,10.0,1.0,3.0,8.0,25.0,0.45989193486849145,5.0,10.0,31.0,g10,Tb
8,0.0338292167128547,0.6720208795878515,0.19856572151184082,10.0,1.0,1.0,8.0,26.0,0.21445411678313597,5.0,10.0,32.0,g10,Tc
9,0.022065517927043678,0.8491282233739338,0.14999866485595703,10.0,-1.0,6.0,9.0,27.0,0.5991277152073129,5.0,10.0,30.0,g10,Ta
10,-0.007391951461370588,0.9504027954287818,0.34856534004211426,10.0,-1.0,3.0,9.0,28.0,0.6051602835650884,5.0,10.0,31.0,g10,Tb
11,0.006062976556121789,0.9542299258105984,0.5485639572143555,10.0,-1.0,1.0,9.0,29.0,0.45946066547049125,5.0,10.0,32.0,g10,Tc
12,0.025053787094450556,0.8123059392538191,0.44945502281188965,12.5,1.0,6.0,10.0,30.0,0.6132197543203781,5.0,10.0,30.0,g12,Ta
13,0.06096288311992989,0.5477985516902244,1.0538833141326904,12.5,1.0,3.0,10.0,31.0,0.4790481141386934,5.0,10.0,31.0,g12,Tb
14,0.028760092951713712,0.7888905418349479,0.7494924068450928,12.5,1.0,1.0,10.0,32.0,0.2557087222971941,5.0,10.0,32.0,g12,Tc
15,-0.0028524304101375,0.9803350495824491,0.2994561195373535,12.5,-1.0,6.0,11.0,33.0,0.5785538789746203,5.0,10.0,30.0,g12,Ta
16,-0.025085308292126685,0.8614634477976055,0.4494171142578125,12.5,-1.0,3.0,11.0,34.0,0.5216495994115854,5.0,10.0,31.0,g12,Tb
17,-0.01364178098318433,0.9189289041799397,0.4494171142578125,12.5,-1.0,1.0,11.0,35.0,0.3577003585524614,5.0,10.0,32.0,g12,Tc
18,0.004175278053099436,0.9653106156694012,0.24961328506469727,7.5,1.0,6.0,6.0,18.0,0.4510097061655507,5.0,10.0,30.0,g7,Ta
19,0.048152294661998184,0.4672953438832148,0.0,7.5,1.0,3.0,6.0,19.0,0.4575523360737246,5.0,10.0,31.0,g7,Tb
20,0.027010905212546052,0.7266433901588675,0.21209025382995605,7.5,1.0,1.0,6.0,20.0,0.3653327202240384,5.0,10.0,32.0,g7,Tc
21,0.01066985874698016,0.8715249359661819,0.30704426765441895,7.5,-1.0,6.0,7.0,21.0,0.15975189016782732,5.0,10.0,30.0,g7,Ta
22,0.005617757889083883,0.9381769793692397,0.35704612731933594,7.5,-1.0,3.0,7.0,22.0,0.2086439683697061,5.0,10.0,31.0,g7,Tb
23,0.06075448947168052,0.3098006774081593,0.8523581027984619,7.5,-1.0,1.0,7.0,23.0,0.10865314178737273,5.0,10.0,32.0,g7,Tc
24,0.020527532885169557,0.807065452142824,0.09999942779541016,10.0,1.0,6.0,8.0,24.0,0.664057812392937,5.0,10.0,30.0,g10,Ta
25,0.04809607319361689,0.5314111741429495,0.7428703308105469,10.0,1.0,3.0,8.0,25.0,0.45989193486849145,5.0,10.0,31.0,g10,Tb
26,0.0251474144040808,0.7624043885722742,0.6499392986297607,10.0,1.0,1.0,8.0,26.0,0.21445411678313597,5.0,10.0,32.0,g10,Tc
27,0.00012919110429279314,0.9986990688831447,0.4474334716796875,10.0,-1.0,6.0,9.0,27.0,0.5991277152073129,5.0,10.0,30.0,g10,Ta
28,-0.00980922086225619,0.9393635937593487,0.4485647678375244,10.0,-1.0,3.0,9.0,28.0,0.6051602835650884,5.0,10.0,31.0,g10,Tb
29,0.014185609384950981,0.898293729350232,0.5013735294342041,10.0,-1.0,1.0,9.0,29.0,0.45946066547049125,5.0,10.0,32.0,g10,Tc
30,0.04036046102083533,0.695901472825917,0.25245118141174316,12.5,1.0,6.0,10.0,30.0,0.6132197543203781,5.0,10.0,30.0,g12,Ta
31,0.049844790639800095,0.627301909491108,0.05003666877746582,12.5,1.0,3.0,10.0,31.0,0.4790481141386934,5.0,10.0,31.0,g12,Tb
32,0.047296976465143324,0.648890219877658,0.8994524478912354,12.5,1.0,1.0,10.0,32.0,0.2557087222971941,5.0,10.0,32.0,g12,Tc
33,-0.007298910387361497,0.9531898288641252,0.4024500846862793,12.5,-1.0,6.0,11.0,33.0,0.5785538789746203,5.0,10.0,30.0,g12,Ta
34,-0.03417844022404686,0.8098997524718238,0.34999823570251465,12.5,-1.0,3.0,11.0,34.0,0.5216495994115854,5.0,10.0,31.0,g12,Tb
