,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat,tap_cat,gust_mag,gust_dir,flight_cond,ind,red_mean,rise_mean,red_dev,rise_dev,le_mean,red_std,cont_gustID,c_g_mean,r_t_mean,l_e_mean,rise_skew,red_skew
3284,0.08007020732259706,77.52541842605564,2.0499911308288574,4.5,1.0,1.0,14,44,-0.5921150400731292,5,15,56,g4_5,Tc,0.4,0.4,5_15,3284,46.850931848676936,0.7089979267120361,30.6744865773787,1.3409932041168213,46.850931848676936,31.88273663082028,56_14,73.17502049290268,1.4939977407455445,0.09523869538801448,0.4600125657969735,-0.3814895234951026
3285,-0.10388381651549658,75.84259153247673,0.6799967288970947,4.5,-1.0,6.0,15,45,0.5295359879649857,5,15,54,g4_5,Ta,0.4,-0.4,5_15,3285,77.97334523646276,0.9405959415435791,2.1307537039860307,0.26059921264648434,77.97334523646276,8.899765736508005,54_15,86.41606387797694,0.8129964590072631,-0.05923057036641184,1.254781122732503,0.43083895769581726
3286,-0.04296103634989513,90.52004646035743,1.0499958992004397,4.5,-1.0,3.0,15,46,0.613672444205205,5,15,55,g4_5,Tb,0.4,-0.4,5_15,3286,85.77442324615434,0.8219972658157348,4.745623214203093,0.22799863338470483,85.77442324615434,12.811867086540826,55_15,92.94580116101714,0.7449981927871704,-0.03105530379270353,0.9767420382923084,-1.035720525457645
3287,0.0008318959863867883,98.68998869888341,1.3699939250946045,4.5,-1.0,1.0,15,47,0.5526348575933953,5,15,56,g4_5,Tc,0.4,-0.4,5_15,3287,86.4805187558026,1.0737971925735474,12.209469943080805,0.29619673252105705,86.4805187558026,12.109365735139878,56_15,95.64834328012014,1.4099943876266479,0.011197947207670828,0.30757608433705375,-0.948961709223017
3288,-0.008478417198883493,98.26893226332697,0.9299964904785156,6.0,1.0,6.0,16,48,0.6094446971303576,5,15,54,g6,Ta,0.56,0.56,5_15,3288,91.01774345391965,1.0415963649749755,7.251188809407324,0.11159987449645992,91.01774345391965,7.44544266922615,54_16,94.79111914154369,0.9899968862533569,0.026642486272080528,0.5434069394782421,-0.47009650901339195
3289,-0.003399149229478364,98.87945661732512,0.9299955368041992,6.0,1.0,3.0,16,49,0.8354443335033699,5,15,55,g6,Tb,0.56,0.56,5_15,3289,94.91841263747308,0.9435965299606324,3.961043979852036,0.01360099315643315,94.91841263747308,3.936657860590069,55_16,94.85503796370159,0.9789963722229004,-0.02058755891087787,0.19885145790739947,-0.5985262277796239
3290,0.06034302677849501,87.37048633657123,1.1199955940246582,6.0,1.0,1.0,16,50,-0.52874647739409,5,15,56,g6,Tc,0.56,0.56,5_15,3290,56.94675650054111,0.8703966665267945,30.42372983603012,0.24959892749786372,56.94675650054111,39.051992008833196,56_16,83.9190668334019,1.4799947261810302,0.08253195311771207,-0.022298768485528763,-0.6853670842993363
3291,-0.06580565878712058,89.74636771421659,0.6099996566772461,6.0,-1.0,6.0,17,51,0.7378648663387549,5,15,54,g6,Ta,0.56,-0.56,5_15,3291,88.5317480477804,1.040396409034729,1.2146196664361923,0.430396752357483,88.5317480477804,5.314103052503132,54_17,92.09312314498537,1.0929962635040282,-0.04625129195180551,0.30186478519778864,-0.38848001840075064
3292,-0.05897991778293556,90.1332562678414,0.7399969100952148,6.0,-1.0,3.0,17,52,0.7270180682471982,5,15,55,g6,Tb,0.56,-0.56,5_15,3292,90.00147618096975,1.1707959413528441,0.13178008687165743,0.4307990312576293,90.00147618096975,8.964595845239215,55_17,91.5929956867374,0.9269975423812866,-0.05170245653357405,0.7410899728413718,-1.4086230779622506
3293,-0.10795963348810347,82.46686221167819,1.1099958419799805,6.0,-1.0,1.0,17,53,0.7135331699968309,5,15,56,g6,Tc,0.56,-0.56,5_15,3293,87.98778912570577,1.188795895576477,5.520926914027584,0.07880005359649656,87.98778912570577,5.796754808346682,56_17,82.20141882189267,1.3229954957962036,-0.11139696340199431,-0.12643054621564256,-0.05405546154134033
3294,-0.03272787126620641,85.7279597950251,0.489997386932373,3.0,1.0,6.0,12,36,0.5631300737246185,5,15,54,g3,Ta,0.24,0.24,5_15,3294,85.01430482582083,0.7404005289077759,0.7136549692042706,0.25040314197540287,85.01430482582083,12.923067525798725,54_12,88.34742407461394,0.5230016469955444,-0.024181217795825834,1.7985401545793234,-1.1413018400247572
3295,-0.07283776187720474,66.13006521825926,0.6199984550476074,3.0,1.0,3.0,12,37,0.5581375357536499,5,15,55,g3,Tb,0.24,0.24,5_15,3295,83.47697438104096,0.6728020429611206,17.3469091627817,0.05280358791351314,83.47697438104096,10.99648738294553,55_12,73.01347375747433,0.7250013828277588,-0.0555472861572352,0.5072692937986323,-0.7674103450981833
3296,-0.24553517844601025,-18.452714129217227,1.6800334453582764,3.0,1.0,1.0,12,38,-0.8831414600078431,5,15,56,g3,Tc,0.24,0.24,5_15,3296,14.388699941118894,0.8788017225265503,32.84141407033612,0.8012317228317261,14.388699941118894,38.915657639909185,56_12,-5.725902515847818,1.4720065355300904,-0.2193306670820568,-0.03568130041372461,0.7265053758161241
3297,-0.055968039920760965,78.33605155163592,0.4299981594085693,3.0,-1.0,6.0,13,39,0.4016732528760696,5,15,54,g3,Ta,0.24,-0.24,5_15,3297,72.31983424406249,0.5255997896194458,6.016217307573427,0.09560163021087648,72.31983424406249,11.269443029837914,54_13,68.82958237355942,0.3959981918334961,-0.08238167711900815,1.4067750766712042,0.1394622821025407
3298,-0.019941938546169862,93.09877771132018,0.3699986934661865,3.0,-1.0,3.0,13,40,0.5792051973456994,5,15,55,g3,Tb,0.24,-0.24,5_15,3298,85.05617400178237,0.8292023372650147,8.042603709537815,0.45920364379882816,85.05617400178237,14.740995065929146,55_13,93.90123273073156,0.6630019187927246,-0.012587808363056101,0.8656665940003506,-1.447771581557136
3299,0.14199897527255784,45.38096085991426,1.8599932193756104,3.0,-1.0,1.0,13,41,0.020962032238076026,5,15,56,g3,Tc,0.24,-0.24,5_15,3299,49.45056384232772,1.087201352119446,4.069602982413457,0.7727918672561644,49.45056384232772,25.349216104867278,56_13,49.76546408526498,1.3229995965957642,0.1298166365727103,0.035010303484741205,-0.23748564585772625
3300,0.023972273809113254,94.33214211227497,0.5599982738494873,4.5,1.0,6.0,14,42,0.6479536898564873,5,15,54,g4_5,Ta,0.4,0.4,5_15,3300,89.14989830018261,0.8353969573974609,5.182243812092352,0.2753986835479736,89.14989830018261,8.807186803598054,54_14,95.02455009899083,0.6949966669082641,-0.009582370340852672,0.9204574392788105,-1.282810907866915
3301,-0.07366806983737999,79.50402066558865,0.5599961280822754,4.5,1.0,3.0,14,43,0.7182749157433204,5,15,55,g4_5,Tb,0.4,0.4,5_15,3301,90.28041173217441,0.7775965070724488,10.77639106658576,0.21760037899017337,90.28041173217441,6.911767257252621,55_14,82.38926729841471,0.7829960346221924,-0.06277163470296103,1.4966680963771557,-0.7206202154140056
