,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat
0,-0.0012282549959432383,0.9759198294229199,0.3699977397918701,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,30.0,g3
1,0.03941446614596659,0.8069449419683846,0.679997444152832,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,31.0,g3
2,-0.2379502640337089,-0.15904832852819584,1.2999951839447021,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,32.0,g3
3,-0.06668646468172286,0.7530303014039794,0.5599985122680664,3.0,-1.0,6.0,7.0,21.0,0.4016732528760696,5.0,10.0,30.0,g3
4,-0.04870735705458183,0.8075966007401814,0.48999738693237305,3.0,-1.0,3.0,7.0,22.0,0.5792051973456994,5.0,10.0,31.0,g3
5,0.2533725039501919,0.03236834970669633,1.239997386932373,3.0,-1.0,1.0,7.0,23.0,0.020962032238076023,5.0,10.0,32.0,g3
6,0.044127730825321086,0.8800131973916422,0.5599997043609619,4.5,1.0,6.0,8.0,24.0,0.6479536898564873,5.0,10.0,30.0,g4_5
7,-0.03350901298114206,0.901500632108696,0.48999714851379395,4.5,1.0,3.0,8.0,25.0,0.7182749157433204,5.0,10.0,31.0,g4_5
8,0.07935302726710038,0.7849592492497838,0.8099977970123291,4.5,1.0,1.0,8.0,26.0,-0.5921150400731292,5.0,10.0,32.0,g4_5
9,-0.13263119844238994,0.6923084778790021,0.6199965476989746,4.5,-1.0,6.0,9.0,27.0,0.5295359879649857,5.0,10.0,30.0,g4_5
10,-0.022026223422201726,0.9475834091919214,0.5499975681304932,4.5,-1.0,3.0,9.0,28.0,0.613672444205205,5.0,10.0,31.0,g4_5
11,0.11198392583955084,0.7426270218017172,0.7399959564208984,4.5,-1.0,1.0,9.0,29.0,0.5526348575933953,5.0,10.0,32.0,g4_5
12,0.044654131324578225,0.9137775590199685,0.9899957180023193,6.0,1.0,6.0,10.0,30.0,0.6094446971303576,5.0,10.0,30.0,g6
13,0.032788804173485245,0.9334294085141722,0.6199984550476074,6.0,1.0,3.0,10.0,31.0,0.8354443335033699,5.0,10.0,31.0,g6
14,0.04927979796026375,0.9022253197392707,0.9299955368041992,6.0,1.0,1.0,10.0,32.0,-0.52874647739409,5.0,10.0,32.0,g6
15,-0.08802525881343198,0.853601540756171,1.2999944686889648,6.0,-1.0,6.0,11.0,33.0,0.7378648663387549,5.0,10.0,30.0,g6
16,-0.009476850961281168,0.9872242435157096,0.5599982738494873,6.0,-1.0,3.0,11.0,34.0,0.7270180682471982,5.0,10.0,31.0,g6
17,-0.023241249633495747,0.9661185672288936,1.549994707107544,6.0,-1.0,1.0,11.0,35.0,0.713533169996831,5.0,10.0,32.0,g6
18,0.005481676699617852,0.9667896377779436,0.5599982738494873,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,30.0,g3
19,0.033688174465878025,0.8456912807358984,0.8099997043609619,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,31.0,g3
20,-0.27277210663755536,-0.33258574419725906,1.6699953079223633,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,32.0,g3
21,-0.08619817386566726,0.6671145418045663,0.18999910354614258,3.0,-1.0,6.0,7.0,21.0,0.4016732528760696,5.0,10.0,30.0,g3
22,-0.006539188258240498,0.9784864834546105,0.6199984550476074,3.0,-1.0,3.0,7.0,22.0,0.5792051973456994,5.0,10.0,31.0,g3
23,0.230044549157739,0.12773241205159636,1.6099939346313477,3.0,-1.0,1.0,7.0,23.0,0.020962032238076023,5.0,10.0,32.0,g3
24,0.032279174458919195,0.9048453506077522,0.4999966621398926,4.5,1.0,6.0,8.0,24.0,0.6479536898564873,5.0,10.0,30.0,g4_5
25,0.03796696693216551,0.8896119199607271,0.5499975681304932,4.5,1.0,3.0,8.0,25.0,0.7182749157433204,5.0,10.0,31.0,g4_5
26,0.09833107266294662,0.7228260224420002,1.0599946975708008,4.5,1.0,1.0,8.0,26.0,-0.5921150400731292,5.0,10.0,32.0,g4_5
27,-0.15496642846777658,0.6426068278673152,0.8699948787689209,4.5,-1.0,6.0,9.0,27.0,0.5295359879649857,5.0,10.0,30.0,g4_5
28,-0.022252320490569404,0.952510205025312,0.6199979782104492,4.5,-1.0,3.0,9.0,28.0,0.613672444205205,5.0,10.0,31.0,g4_5
29,0.15936791257317634,0.6190159607842551,0.5599997043609619,4.5,-1.0,1.0,9.0,29.0,0.5526348575933953,5.0,10.0,32.0,g4_5
30,0.019826637240345536,0.9604780007352017,0.6799969673156738,6.0,1.0,6.0,10.0,30.0,0.6094446971303576,5.0,10.0,30.0,g6
31,-0.024718913803927645,0.9469444499183203,1.1099977493286133,6.0,1.0,3.0,10.0,31.0,0.8354443335033699,5.0,10.0,31.0,g6
32,0.09695409592421136,0.821167045858085,1.1799957752227783,6.0,1.0,1.0,10.0,32.0,-0.52874647739409,5.0,10.0,32.0,g6
33,-0.08115006703671933,0.8651113100072897,0.6799983978271484,6.0,-1.0,6.0,11.0,33.0,0.7378648663387549,5.0,10.0,30.0,g6
34,-0.06851805385580453,0.888161242860187,1.4799954891204834,6.0,-1.0,3.0,11.0,34.0,0.7270180682471982,5.0,10.0,31.0,g6
35,0.014965829686145935,0.9682026845416013,1.419996976852417,6.0,-1.0,1.0,11.0,35.0,0.713533169996831,5.0,10.0,32.0,g6
36,-0.028019697254070716,0.8721198339521787,0.4999995231628418,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,30.0,g3
37,0.04770114751276777,0.7633701529661495,0.3699977397918701,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,31.0,g3
38,-0.24235006360020547,-0.1846016412774849,1.4300353527069092,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,32.0,g3
39,-0.08749700402045177,0.6663660126169073,0.679997444152832,3.0,-1.0,6.0,7.0,21.0,0.4016732528760696,5.0,10.0,30.0,g3
40,-0.007093906784792163,0.9799982080599748,0.6199972629547119,3.0,-1.0,3.0,7.0,22.0,0.5792051973456994,5.0,10.0,31.0,g3
41,0.22802193219746653,0.12788679956393845,0.9299960136413574,3.0,-1.0,1.0,7.0,23.0,0.020962032238076023,5.0,10.0,32.0,g3
42,0.02282690694601223,0.9408681108266962,0.43999648094177246,4.5,1.0,6.0,8.0,24.0,0.6479536898564873,5.0,10.0,30.0,g4_5
43,-0.04701097726435831,0.8648515597178967,0.9899964332580566,4.5,1.0,3.0,8.0,25.0,0.7182749157433204,5.0,10.0,31.0,g4_5
44,0.07747539077392131,0.7798838026689361,1.0599946975708008,4.5,1.0,1.0,8.0,26.0,-0.5921150400731292,5.0,10.0,32.0,g4_5
45,-0.12256677697331171,0.7197578732392282,0.6799967288970947,4.5,-1.0,6.0,9.0,27.0,0.5295359879649857,5.0,10.0,30.0,g4_5
46,-0.04236095716690264,0.8949581639581616,0.6899969577789307,4.5,-1.0,3.0,9.0,28.0,0.613672444205205,5.0,10.0,31.0,g4_5
47,0.11582243353424412,0.7284240626786569,1.1799941062927246,4.5,-1.0,1.0,9.0,29.0,0.5526348575933953,5.0,10.0,32.0,g4_5
48,0.002864797032414064,0.9874098809836953,0.6099996566772461,6.0,1.0,6.0,10.0,30.0,0.6094446971303576,5.0,10.0,30.0,g6
49,-0.01683983507947323,0.9560204045075459,1.2999968528747559,6.0,1.0,3.0,10.0,31.0,0.8354443335033699,5.0,10.0,31.0,g6
50,-0.04547595806549269,0.9080577230889775,1.7899937629699707,6.0,1.0,1.0,10.0,32.0,-0.52874647739409,5.0,10.0,32.0,g6
51,-0.0782894556704279,0.8732943997284431,0.8099963665008545,6.0,-1.0,6.0,11.0,33.0,0.7378648663387549,5.0,10.0,30.0,g6
52,-0.028464212159440064,0.9520889851668378,0.7999985218048096,6.0,-1.0,3.0,11.0,34.0,0.7270180682471982,5.0,10.0,31.0,g6
53,0.04426752522255279,0.9236077786532055,1.419996976852417,6.0,-1.0,1.0,11.0,35.0,0.713533169996831,5.0,10.0,32.0,g6
54,0.0158858686476557,0.9370118227122409,0.3699977397918701,3.0,1.0,6.0,6.0,18.0,0.5631300737246185,5.0,10.0,30.0,g3
55,0.013977867823013914,0.9407257728223177,0.6800377368927002,3.0,1.0,3.0,6.0,19.0,0.5581375357536499,5.0,10.0,31.0,g3
56,-0.2757032425554927,-0.3505462371871957,2.109994411468506,3.0,1.0,1.0,6.0,20.0,-0.8831414600078431,5.0,10.0,32.0,g3
