,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat,tap_cat,red_mean,red_std,red_skew,red_dev,rise_mean,rise_std,rise_skew,d_colors,d_marks,alphas
0,-0.007764629012211223,0.9139822944605673,0.4070448875427246,7.5,1.0,6.0,6,18,0.4510097061655507,5.0,10.0,30,g7,Th,0.8418076183264296,0.12106060006017298,-0.6614925870103212,0.07217467613413775,0.3504735326766968,0.20473830224183304,0.9644910030174466,#C0822C,^,0.3
1,0.04093255887591088,0.5557672970866632,0.6489591598510742,7.5,1.0,3.0,6,19,0.4575523360737246,5.0,10.0,31,g7,Ta,0.8059294066782585,0.16876992163486024,-1.314074874955478,0.25016210959159535,0.35525787591934205,0.21185451230764335,0.40077968074989223,#C0822C,^,0.3
2,0.05073688866246296,0.4579749040539626,0.2541391849517822,7.5,1.0,1.0,6,20,0.3653327202240384,5.0,10.0,32,g7,Tl,0.7773948137261626,0.1556382915203258,-0.5304735446970655,0.3194199096722,0.7448902654647828,1.239697213350286,2.6076212265457803,#C0822C,^,0.3
3,0.01680494381450637,0.8145034810579588,0.5570440292358398,7.5,-1.0,6.0,7,21,0.15975189016782732,5.0,10.0,30,g7,Th,0.7768108891863474,0.21002212013239693,-1.0802626290961128,0.037692591871611336,0.4249574184417725,0.22842287905928785,1.1422567571133888,#0F665E,v,0.3
4,0.019812929699636033,0.7708346277902567,0.35704612731933594,7.5,-1.0,3.0,7,22,0.2086439683697061,5.0,10.0,31,g7,Ta,0.7451382352187703,0.16569519682015893,-0.31122481649149575,0.02569639257148637,0.4299221420288086,0.26392652646939874,0.9656123203373225,#0F665E,v,0.3
5,0.07355972150122206,0.1542373696732524,2.7063684463500977,7.5,-1.0,1.0,7,23,0.10865314178737273,5.0,10.0,32,g7,Tl,0.7322816292711168,0.23255961308032283,-0.9439414212548543,0.5780442595978644,0.7453834128379822,0.5560860832063032,1.2934899074793855,#0F665E,v,0.3
6,0.02595916513018577,0.7635332461202953,0.3974344730377197,10.0,1.0,6.0,8,24,0.664057812392937,5.0,10.0,30,g10,Th,0.8509359584762136,0.08563247741889798,-0.8864047829598408,0.08740271235591834,0.42004918813705444,0.18569199264843111,-0.1088459317424227,#C0822C,^,0.3
7,0.029180097444244726,0.7092135465783157,0.647432804107666,10.0,1.0,3.0,8,25,0.45989193486849145,5.0,10.0,31,g10,Ta,0.8308576276411651,0.13060980799562658,-0.7677748577029073,0.12164408106284941,0.5770543551445008,0.5610914374188588,2.4735895138430366,#C0822C,^,0.3
8,0.0338292167128547,0.6720208795878515,0.19856572151184082,10.0,1.0,1.0,8,26,0.21445411678313597,5.0,10.0,32,g10,Tl,0.7358749038148844,0.1823526044959035,-0.6333970254119116,0.0638540242270329,0.8528260540962219,1.4234014956195524,2.6053699886217907,#C0822C,^,0.3
9,0.022065517927043678,0.8491282233739338,0.14999866485595703,10.0,-1.0,6.0,9,27,0.5991277152073129,5.0,10.0,30,g10,Th,0.8587541277573785,0.08577493183576387,-0.366023248740549,0.009625904383444683,0.4054818534851074,0.21639174815241832,1.8978461380791807,#0F665E,v,0.3
10,-0.007391951461370588,0.9504027954287818,0.34856534004211426,10.0,-1.0,3.0,9,28,0.6051602835650884,5.0,10.0,31,g10,Ta,0.8463034475840969,0.13007950221865255,-1.5815361294479615,0.10409934784468489,0.4947213697433472,0.28969098508586866,1.1556767798713177,#0F665E,v,0.3
11,0.006062976556121789,0.9542299258105984,0.5485639572143555,10.0,-1.0,1.0,9,29,0.45946066547049125,5.0,10.0,32,g10,Tl,0.790732538002332,0.11555920485631517,-0.26818366146355715,0.1634973878082664,0.7384591722488403,0.7565363866946684,4.9793355485439355,#0F665E,v,0.3
12,0.025053787094450556,0.8123059392538191,0.44945502281188965,12.5,1.0,6.0,10,30,0.6132197543203781,5.0,10.0,30,g12,Th,0.8721212787576085,0.09419141101265414,-0.8714639421270274,0.059815339503789366,0.49263745307922363,0.21572851365587153,1.043828419255691,#C0822C,^,0.3
13,0.06096288311992989,0.5477985516902244,1.0538833141326904,12.5,1.0,3.0,10,31,0.4790481141386934,5.0,10.0,31,g12,Ta,0.8179916161438722,0.13250197201438751,-0.8424630226415197,0.27019306445364777,0.7426263284683228,0.8661701896396247,3.2108507018095556,#C0822C,^,0.3
14,0.028760092951713712,0.7888905418349479,0.7494924068450928,12.5,1.0,1.0,10,32,0.2557087222971941,5.0,10.0,32,g12,Tl,0.7395227064467153,0.17236371723978589,-0.5333949074584589,0.04936783538823264,0.99139901638031,1.4957055414927214,2.6086769008727084,#C0822C,^,0.3
15,-0.0028524304101375,0.9803350495824491,0.2994561195373535,12.5,-1.0,6.0,11,33,0.5785538789746203,5.0,10.0,30,g12,Th,0.8618325788833807,0.08581859295179063,-0.23279212929889717,0.11850247069906839,0.4734798550605774,0.3107812088930135,1.9056944664835294,#0F665E,v,0.3
16,-0.025085308292126685,0.8614634477976055,0.4494171142578125,12.5,-1.0,3.0,11,34,0.5216495994115854,5.0,10.0,31,g12,Ta,0.8412995344563544,0.14605796968744603,-1.4789894969937112,0.020163913341251116,0.6055258893966675,0.41186085343015033,1.3381720508224664,#0F665E,v,0.3
17,-0.01364178098318433,0.9189289041799397,0.4494171142578125,12.5,-1.0,1.0,11,35,0.3577003585524614,5.0,10.0,32,g12,Tl,0.7732680377069925,0.13277577230768037,-0.062175330254848275,0.14566086647294718,0.6560634136199951,0.46098869583817015,1.3356224733116975,#0F665E,v,0.3
