"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)",0.657552019135034,0.304348113189917,0.994619837408209,1834,0.00327153762268262
"tap_catTb",0.166785876242557,-0.107638064015191,0.459084779620753,1834,0.225736095965104
"tap_catTc",0.0323686570262966,-0.261649053281872,0.310737024847185,1497.19546984223,0.816793893129771
