,lift_err,e_reduct,r_time,gust,dir,taps,gustID,IDnum,out_cap,AoA,speed,contID,g_cat
0,0.019012009746425456,0.858990440843166,0.19003605842590332,4.0,1.0,6.0,6.0,18.0,0.5899835690001299,5.0,10.0,30.0,g4
1,0.020058218747420024,0.855026972993093,0.4999992847442627,4.0,1.0,3.0,6.0,19.0,0.4699114985152335,5.0,10.0,31.0,g4
2,0.016097145121917174,0.8757187790350691,0.19003605842590332,4.0,1.0,1.0,6.0,20.0,-0.38451564352727896,5.0,10.0,32.0,g4
3,0.033368813604303264,0.7674537368931552,0.4999983310699463,4.0,-1.0,6.0,7.0,21.0,0.5989393765321623,5.0,10.0,30.0,g4
4,0.003575668737830682,0.9736415174065358,0.6299972534179688,4.0,-1.0,3.0,7.0,22.0,0.646605386531033,5.0,10.0,31.0,g4
5,0.015139539329978767,0.8856654464635582,0.7500040531158447,4.0,-1.0,1.0,7.0,23.0,-0.17260555822414148,5.0,10.0,32.0,g4
6,0.008901728616391128,0.9536259018465416,0.4326472282409668,6.0,1.0,6.0,8.0,24.0,0.7040394969471876,5.0,10.0,30.0,g6
7,0.009762168381828501,0.9536419380786274,0.4926469326019287,6.0,1.0,3.0,8.0,25.0,0.6522779460755458,5.0,10.0,31.0,g6
8,-0.07433741829051037,0.6622570868704543,1.5446405410766602,6.0,1.0,1.0,8.0,26.0,0.07596508121564749,5.0,10.0,32.0,g6
9,-0.011640393513301433,0.9486060952523674,0.612647294998169,6.0,-1.0,6.0,9.0,27.0,0.5986177029189865,5.0,10.0,30.0,g6
10,-0.02028124631219182,0.9187600789642412,1.0501337051391602,6.0,-1.0,3.0,9.0,28.0,0.34873902228129894,5.0,10.0,31.0,g6
11,-0.048579910204794845,0.7986328076360316,1.2973883152008057,6.0,-1.0,1.0,9.0,29.0,0.02141117256348324,5.0,10.0,32.0,g6
12,0.017494458251505057,0.9317181023394778,0.669999361038208,8.0,1.0,6.0,10.0,30.0,0.7757106787724587,5.0,10.0,30.0,g8
13,0.003565753528342759,0.9863635301519742,0.42999768257141113,8.0,1.0,3.0,10.0,31.0,0.696268510994632,5.0,10.0,31.0,g8
14,-0.050573689201591325,0.8364590974197668,0.859997034072876,8.0,1.0,1.0,10.0,32.0,0.026518003561847636,5.0,10.0,32.0,g8
15,-0.052877740004247,0.8483091439581714,0.6099967956542969,8.0,-1.0,6.0,11.0,33.0,0.4515098840005718,5.0,10.0,30.0,g8
16,-0.05598920359655779,0.8348680696437584,0.8599948883056641,8.0,-1.0,3.0,11.0,34.0,0.4006679107481015,5.0,10.0,31.0,g8
17,-0.10198297207228121,0.7141140393993699,1.2899951934814453,8.0,-1.0,1.0,11.0,35.0,0.19002652197776504,5.0,10.0,32.0,g8
